frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
404,1777497116710,1777497116083,1777497116991,281,908,627
405,1777497116743,1777497116083,1777497117049,306,966,660
406,1777497116886,1777497116083,1777497117108,222,1025,803
407,1777497116978,1777497116083,1777497117166,188,1083,895
408,1777497116978,1777497116083,1777497117226,248,1143,895
409,1777497116978,1777497116516,1777497117286,308,770,462
410,1777497116978,1777497116583,1777497117344,366,761,395
411,1777497117084,1777497116583,1777497117402,318,819,501
412,1777497117084,1777497116616,1777497117460,376,844,468
413,1777497117274,1777497116616,1777497117517,243,901,658
414,1777497117376,1777497116616,1777497117573,197,957,760
415,1777497117376,1777497116616,1777497117631,255,1015,760
416,1777497117410,1777497116616,1777497117691,281,1075,794
417,1777497117410,1777497116917,1777497117750,340,833,493
418,1777497117443,1777497116939,1777497117809,366,870,504
419,1777497117543,1777497116939,1777497117867,324,928,604
420,1777497117576,1777497116939,1777497117923,347,984,637
421,1777497117641,1777497116939,1777497117980,339,1041,702
422,1777497117776,1777497116939,1777497118038,262,1099,837
423,1777497117910,1777497116939,1777497118096,186,1157,971
424,1777497117944,1777497116939,1777497118154,210,1215,1005
425,1777497117977,1777497116939,1777497118212,235,1273,1038
426,1777497117977,1777497116939,1777497118271,294,1332,1038
427,1777497117977,1777497116939,1777497118331,354,1392,1038
428,1777497117977,1777497117381,1777497118391,414,1010,596
429,1777497117977,1777497117381,1777497118452,475,1071,596
430,1777497118078,1777497117381,1777497118514,436,1133,697
431,1777497118212,1777497117381,1777497118571,359,1190,831
432,1777497118407,1777497117381,1777497118629,222,1248,1026
433,1777497118512,1777497117381,1777497118686,174,1305,1131
434,1777497118512,1777497117381,1777497118742,230,1361,1131
435,1777497118645,1777497117381,1777497118798,153,1417,1264
436,1777497118645,1777497117381,1777497118855,210,1474,1264
437,1777497118745,1777497117381,1777497118914,169,1533,1364
438,1777497118745,1777497117381,1777497118972,227,1591,1364
439,1777497118878,1777497117381,1777497119033,155,1652,1497
440,1777497118878,1777497117381,1777497119092,214,1711,1497
441,1777497118945,1777497117381,1777497119153,208,1772,1564
442,1777497118978,1777497117381,1777497119213,235,1832,1597
443,1777497119044,1777497117381,1777497119271,227,1890,1663
444,1777497119107,1777497117381,1777497119328,221,1947,1726
445,1777497119107,1777497117381,1777497119387,280,2006,1726
446,1777497119107,1777497118049,1777497119447,340,1398,1058
447,1777497119107,1777497118113,1777497119506,399,1393,994
448,1777497119210,1777497118113,1777497119566,356,1453,1097
449,1777497119210,1777497118148,1777497119626,416,1478,1062
450,1777497119210,1777497118148,1777497119685,475,1537,1062
451,1777497119259,1777497118148,1777497119746,487,1598,1111
452,1777497119309,1777497118148,1777497119806,497,1658,1161
453,1777497119407,1777497118148,1777497119865,458,1717,1259
454,1777497119440,1777497118148,1777497119924,484,1776,1292
455,1777497119507,1777497118148,1777497119981,474,1833,1359
456,1777497119642,1777497118148,1777497120038,396,1890,1494
457,1777497119708,1777497118148,1777497120094,386,1946,1560
458,1777497119840,1777497118148,1777497120151,311,2003,1692
459,1777497119840,1777497118148,1777497120208,368,2060,1692
460,1777497119878,1777497118916,1777497120267,389,1351,962
461,1777497119911,1777497118916,1777497120325,414,1409,995
462,1777497119977,1777497118916,1777497120384,407,1468,1061
463,1777497120141,1777497118916,1777497120443,302,1527,1225
464,1777497120212,1777497118916,1777497120499,287,1583,1296
465,1777497120212,1777497118950,1777497120555,343,1605,1262
466,1777497120309,1777497118950,1777497120613,304,1663,1359
467,1777497120374,1777497118950,1777497120670,296,1720,1424
468,1777497120478,1777497118950,1777497120728,250,1778,1528
469,1777497120613,1777497118950,1777497120785,172,1835,1663
470,1777497120640,1777497118950,1777497120843,203,1893,1690
471,1777497120711,1777497118950,1777497120901,190,1951,1761
472,1777497120777,1777497118950,1777497120959,182,2009,1827
473,1777497120810,1777497118950,1777497121017,207,2067,1860
474,1777497120909,1777497118950,1777497121073,164,2123,1959
475,1777497120909,1777497118950,1777497121129,220,2179,1959
476,1777497121009,1777497118950,1777497121186,177,2236,2059
477,1777497121043,1777497118950,1777497121245,202,2295,2093
478,1777497121076,1777497118950,1777497121302,226,2352,2126
479,1777497121110,1777497118950,1777497121361,251,2411,2160
480,1777497121174,1777497118950,1777497121418,244,2468,2224
481,1777497121241,1777497118950,1777497121476,235,2526,2291
482,1777497121241,1777497118950,1777497121534,293,2584,2291
483,1777497121311,1777497118950,1777497121593,282,2643,2361
484,1777497121377,1777497119781,1777497121651,274,1870,1596
485,1777497121443,1777497119781,1777497121710,267,1929,1662
486,1777497121443,1777497119781,1777497121768,325,1987,1662
487,1777497121443,1777497119781,1777497121827,384,2046,1662
488,1777497121573,1777497119781,1777497121887,314,2106,1792
489,1777497121643,1777497119781,1777497121946,303,2165,1862
490,1777497121709,1777497119781,1777497122005,296,2224,1928
491,1777497121709,1777497119781,1777497122063,354,2282,1928
492,1777497121709,1777497119781,1777497122121,412,2340,1928
493,1777497121709,1777497119781,1777497122181,472,2400,1928
494,1777497121709,1777497121237,1777497122239,530,1002,472
