frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
273,1777496709132,1777496700976,1777496709917,785,8941,8156
274,1777496709165,1777496700976,1777496709975,810,8999,8189
275,1777496709365,1777496700976,1777496710034,669,9058,8389
276,1777496709365,1777496700997,1777496710092,727,9095,8368
277,1777496709397,1777496700997,1777496710150,753,9153,8400
278,1777496709464,1777496700997,1777496710209,745,9212,8467
279,1777496709631,1777496700997,1777496710268,637,9271,8634
280,1777496709764,1777496700997,1777496710327,563,9330,8767
281,1777496709838,1777496701042,1777496710383,545,9341,8796
282,1777496709964,1777496701042,1777496710441,477,9399,8922
283,1777496710097,1777496701042,1777496710498,401,9456,9055
284,1777496710264,1777496701042,1777496710556,292,9514,9222
285,1777496710329,1777496701042,1777496710613,284,9571,9287
286,1777496710329,1777496701042,1777496710672,343,9630,9287
287,1777496710365,1777496701063,1777496710730,365,9667,9302
288,1777496710397,1777496701063,1777496710787,390,9724,9334
289,1777496710532,1777496701063,1777496710847,315,9784,9469
290,1777496710598,1777496701063,1777496710903,305,9840,9535
291,1777496710625,1777496701063,1777496710960,335,9897,9562
292,1777496710625,1777496701063,1777496711018,393,9955,9562
293,1777496710625,1777496701108,1777496711078,453,9970,9517
294,1777496710625,1777496701130,1777496711137,512,10007,9495
295,1777496710698,1777496701130,1777496711197,499,10067,9568
296,1777496710830,1777496701130,1777496711254,424,10124,9700
297,1777496710864,1777496701130,1777496711310,446,10180,9734
298,1777496710932,1777496701176,1777496711367,435,10191,9756
299,1777496710932,1777496701197,1777496711424,492,10227,9735
300,1777496711063,1777496701197,1777496711481,418,10284,9866
301,1777496711131,1777496701263,1777496711540,409,10277,9868
302,1777496711175,1777496701263,1777496711595,420,10332,9912
303,1777496711231,1777496701263,1777496711651,420,10388,9968
304,1777496711231,1777496701263,1777496711709,478,10446,9968
305,1777496711263,1777496701330,1777496711769,506,10439,9933
306,1777496711329,1777496701330,1777496711827,498,10497,9999
307,1777496711472,1777496701330,1777496711886,414,10556,10142
308,1777496711531,1777496701330,1777496711943,412,10613,10201
309,1777496711531,1777496701330,1777496712000,469,10670,10201
310,1777496711591,1777496701330,1777496712059,468,10729,10261
311,1777496711698,1777496701330,1777496712118,420,10788,10368
312,1777496711729,1777496701397,1777496712174,445,10777,10332
313,1777496711831,1777496701397,1777496712231,400,10834,10434
314,1777496711897,1777496701397,1777496712288,391,10891,10500
315,1777496711930,1777496701440,1777496712346,416,10906,10490
316,1777496712028,1777496701440,1777496712403,375,10963,10588
317,1777496712062,1777496701497,1777496712463,401,10966,10565
318,1777496712159,1777496701497,1777496712519,360,11022,10662
319,1777496712198,1777496701497,1777496712576,378,11079,10701
320,1777496712198,1777496701497,1777496712633,435,11136,10701
321,1777496712264,1777496701564,1777496712694,430,11130,10700
322,1777496712330,1777496701609,1777496712752,422,11143,10721
323,1777496712496,1777496701609,1777496712809,313,11200,10887
324,1777496712496,1777496701630,1777496712865,369,11235,10866
325,1777496712564,1777496701630,1777496712922,358,11292,10934
326,1777496712564,1777496701630,1777496712980,416,11350,10934
327,1777496712659,1777496701630,1777496713039,380,11409,11029
328,1777496712692,1777496701675,1777496713097,405,11422,11017
329,1777496712726,1777496701675,1777496713152,426,11477,11051
330,1777496712759,1777496701675,1777496713210,451,11535,11084
331,1777496712825,1777496701742,1777496713267,442,11525,11083
332,1777496712897,1777496701763,1777496713324,427,11561,11134
333,1777496712931,1777496701810,1777496713380,449,11570,11121
334,1777496712991,1777496701810,1777496713436,445,11626,11181
335,1777496712991,1777496701810,1777496713493,502,11683,11181
336,1777496713097,1777496701840,1777496713553,456,11713,11257
337,1777496713162,1777496701863,1777496713611,449,11748,11299
338,1777496713162,1777496701941,1777496713669,507,11728,11221
